created_at;id;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;geo;lang;user_id_str;conversation_id;conversation_id_str;media_url_https;media_type;username
Thu May 25 17:30:28 +0000 2023;1661786824313024500;1661786824313024512;"@nct_menfess pilih orang buat jadi pacar kamu, J line";0;0;0;0;;in;1622339670289031169;1661713174956220400;1661713174956220417;"";"";kajesshh
Thu May 25 17:33:44 +0000 2023;1661787649265508400;1661787649265508352;"definisi air mataku udah habis dikalian💐\nThank you for a very beautiful era, very beautiful for me, who introduced me to NCT and many other things..aku kira bakal terus nambah sampek jadi 50 member wkwk nyatanya rumput aku udah ilang 3\nTHANK YOU NCT 2020\nYOU ARE STILL THE BEST💚 https://t.co/lcfute3plS";0;0;0;0;;in;1286846772157939712;1661787649265508400;1661787649265508352;"https://pbs.twimg.com/media/Fw_bDDKakAEjr5A.jpg";"photo";lovinggjamall
Thu May 25 17:33:49 +0000 2023;1661787670794891300;1661787670794891269;"@nct_menfess Hallo maaf kak izin share disini ya. \n\nKakak2 aku izin  info bahwa kantor ku lg open loker nih di daerah jakarta selatan, jika yg berminat boleh dm aku Ya";0;0;0;0;;in;1653716567077838849;1661716809962385400;1661716809962385413;"";"";haniiifasb
Thu May 25 17:35:02 +0000 2023;1661787975032914000;1661787975032913921;"Wtb aksesoris lucu buat lighstick nct new pre💚 gapapa.. wangdom yak terima kasihhhh 🙏🏻";0;0;0;0;;in;1317838801;1661787975032914000;1661787975032913921;"";"";bubububuuu_
Thu May 25 17:34:23 +0000 2023;1661787812583325700;1661787812583325696;"@nanadoongifess nitip buat yg masih open po, prefer pulau jawa";0;0;0;0;;in;1588099620257005568;1661654586598510600;1661654586598510592;"";"";haesolariest
Thu May 25 17:30:43 +0000 2023;1661786890583031800;1661786890583031810;"@nct_menfess HSHHSHSHS PARAHHHH😭😭😭 GEMES BGTT DAHLAHH🤧";0;0;0;0;;in;1644736769106268161;1661782968359325700;1661782968359325696;"";"";sunflowrrr6
Thu May 25 17:33:02 +0000 2023;1661787472370737200;1661787472370737152;"@nct_menfess lahh ga bahaya ta";0;0;0;0;;in;1125009984704532480;1661700499794718700;1661700499794718720;"";"";Najmiokt
Thu May 25 17:30:48 +0000 2023;1661786911038640000;1661786911038640129;"@nct_menfess HAHAHHAHA BANH UDAHHHH BANHHH";0;0;0;0;;in;1491834310130688018;1661782968359325700;1661782968359325696;"";"";hyckfsun
Thu May 25 17:30:24 +0000 2023;1661786811130339300;1661786811130339328;"dh ckup stres nugasnya hari ini mrie kita nnton konten nct🤩👊🏻";0;0;0;0;;in;1475524915658821636;1661786811130339300;1661786811130339328;"";"";yufalova
Thu May 25 17:35:27 +0000 2023;1661788081761190000;1661788081761189889;"@nct_menfess bukan salting lagi";0;0;0;0;;in;1370072848971173890;1661782968359325700;1661782968359325696;"";"";najaeminbby
Thu May 25 17:12:41 +0000 2023;1661782349405905000;1661782349405904896;"BUSET NA JAEMIN LUH PRASAAN GAPERNA PAKE LOP MERAH. SEKALI PAKE LOP MERAH GW YG NGEREOG ASFJKLGNDDND😭❤️❤️❤️❤️ https://t.co/wlb6HeM9k2";1;0;0;0;;in;3225787080;1661780809026785300;1661780809026785280;"https://pbs.twimg.com/media/Fw_WPCyaEAETKqa.jpg";"photo";jaemininii
Thu May 25 17:35:05 +0000 2023;1661787987942989800;1661787987942989825;"@nct_menfess Percayalah, staff SM pun ada beberapa yg termasuk ssg. Itu alesan kenapa ssg dapet info cepet 😮‍💨";0;0;0;0;;in;1431297491736018946;1661700499794718700;1661700499794718720;"";"";bemyred_
Thu May 25 17:25:24 +0000 2023;1661785551383703600;1661785551383703554;"@nct_menfess @ANJAYELEEBEW tol. ANJINGGG KESEL BAT GUE SAMA SM";0;0;0;0;;in;1597199432638156801;1661700499794718700;1661700499794718720;"";"";chuchuwiy
Thu May 25 17:30:15 +0000 2023;1661786770449780700;1661786770449780736;"@zcl_nct fisika mem";0;1;0;0;;in;1532303792305479681;1661749992980357000;1661749992980357124;"";"";aleadadua
Thu May 25 17:25:46 +0000 2023;1661785645155762200;1661785645155762177;"77. Jangan Cari Pacar Baru\nhttps://t.co/nfYzeOiPFd";0;1;0;0;;in;1333294046328942592;1613234366804820000;1613234366804819968;"";"";gudang_au
Thu May 25 17:29:26 +0000 2023;1661786567705526300;1661786567705526275;"@nct_menfess bukan lagiii";0;0;0;0;;in;1563848740170915840;1661782968359325700;1661782968359325696;"";"";AchaCarelyn
Thu May 25 17:27:02 +0000 2023;1661785962425507800;1661785962425507841;"79. Kesayangan Papa\nhttps://t.co/cKNIDoM2SU";0;0;0;0;;in;1333294046328942592;1613234366804820000;1613234366804819968;"";"";gudang_au
Thu May 25 14:41:27 +0000 2023;1661744290421424000;1661744290421424129;"@starfess Siapa lagi kalo bukan yuta, karna wajahnya sangar sangar modelan rapper gitu, eh ternyata vocal line 🥹🥹 https://t.co/B7tl6yiLt3";2;1;0;268;;in;1679763391;1661731687326441500;1661731687326441475;"https://pbs.twimg.com/media/Fw-zoADaUAAViDy.jpg";"photo";barbajaa
Thu May 25 17:25:06 +0000 2023;1661785477308100600;1661785477308100608;"@nct_menfess HWHWHWHWHWHHWHWH TW AJ 🫠 INI UDAH SENYUM” SENDIRI BAGAIKAN ORGIL TIDAK TERTOLONG 😭";0;0;0;0;;in;1651500566022078465;1661782968359325700;1661782968359325696;"";"";nanafiedd
Thu May 25 17:30:12 +0000 2023;1661786758655381500;1661786758655381504;"@nct_menfess RILLL, disuruh tidur, diucapin ILY❤️ YANG ADA GABISA TIDURRR GW 😭👍🏼";0;0;0;0;;in;1547416073976545280;1661782968359325700;1661782968359325696;"";"";000003AM
Thu May 25 17:24:58 +0000 2023;1661785443862728700;1661785443862728707;"@nct_menfess @ANJAYELEEBEW SM agensi kpop ter ter ter ter ter ter kon";0;1;0;0;;in;1597199432638156801;1661700499794718700;1661700499794718720;"";"";chuchuwiy
Wed May 04 12:03:12 +0000 2022;1521822751535034400;1521822751535034368;"; Kesayangan papa\nRelio Shanin pt.3\n\n– Lee jeno few tweets au\nby haechanaje https://t.co/pAiqhh6Jdr";46;14;1168;6343;;in;1451269827503419404;1521822751535034400;1521822751535034368;"https://pbs.twimg.com/media/FR6ZuUAaAAA8o7o.jpg";"photo";haechanaje
Thu May 25 17:28:16 +0000 2023;1661786272044839000;1661786272044838913;"@nct_menfess btul skali";0;0;0;0;;in;1252635925919621120;1661782968359325700;1661782968359325696;"";"";navyjaem
Thu May 25 17:27:23 +0000 2023;1661786050598146000;1661786050598146048;"@starfess Nct meskipun title tracknya banyak yg noisy, bside tracknya juara\nNct 127-Pandora’s Box\n\nhttps://t.co/lYVvNiCqQ3";0;0;0;0;;in;1607717619146313733;1661749219928195000;1661749219928195072;"https://pbs.twimg.com/media/ERNZnQLUYAEISwg.jpg";"photo";classy_12sv
Thu May 25 17:25:05 +0000 2023;1661785469846425600;1661785469846425600;"@nct_menfess RILL, tengah malem di bikin salting sama jaemin😭😭";0;0;0;0;;in;1412244972108083228;1661782968359325700;1661782968359325696;"";"";njmnlhc
Thu May 25 17:27:28 +0000 2023;1661786071527747600;1661786071527747585;"@nct_menfess 🦌aktif jbjb";0;0;0;18;;in;1289592338969370625;1661781111519969300;1661781111519969280;"";"";myjjh_
Wed May 24 10:07:29 +0000 2023;1661312959409442800;1661312959409442816;"kenapa dari awal gak dikasih disclaimer sih kalo ngestan NCT ini genrenya bakal angst?";150;70;899;3228;;in;1318896321684668416;1661312959409442800;1661312959409442816;"";"";fewritincty
Thu May 25 17:28:08 +0000 2023;1661786236812689400;1661786236812689408;"but idkkk knp kaga dibuat unit nct aja si elaaahh geblek lu sm";0;0;0;0;;in;1248670802330808320;1661786233805357000;1661786233805357056;"";"";gomierang
Thu May 25 17:29:23 +0000 2023;1661786552664723500;1661786552664723457;"@nct_menfess SALBRUT ALIAS SALTING BRUTAL 😭😭🤸🏻‍♀️🤸🏻‍♀️ Berasa chat-an sama pacar 🫶🏻";0;0;0;0;;in;1565331747490762754;1661782968359325700;1661782968359325696;"";"";nhcrushing
Thu Mar 03 13:18:45 +0000 2022;1499373716366835700;1499373716366835714;"; Jangan cari pacar baru\n\n– Lee jeno few tweets au\n© haechanaje https://t.co/WxNmVrrIOM";341;57;4708;21035;;in;1451269827503419404;1499373716366835700;1499373716366835714;"https://pbs.twimg.com/media/FM7YcSnaIAQUcHi.jpg";"photo";haechanaje
Thu May 25 17:27:01 +0000 2023;1661785958621257700;1661785958621257735;"guys yg belum ngantuk, main tap tap about nct! yu";0;4;2;7;;in;1275010241017462784;1661785958621257700;1661785958621257735;"";"";nct_menfess
Thu May 25 17:29:40 +0000 2023;1661786625532387300;1661786625532387328;"tau gitu bulan juni thun kmren aku ga milih nct buat jdi rumah keduaku🥴";0;0;0;0;;in;1388652537306259458;1661786625532387300;1661786625532387328;"";"";jAemaniee
Thu May 25 17:25:12 +0000 2023;1661785502692024300;1661785502692024320;"@nct_menfess lucuuukk amattt😭";0;0;0;0;;in;1265183952513298432;1661716523210403800;1661716523210403846;"";"";kuesoos
Thu May 25 17:29:10 +0000 2023;1661786498860216300;1661786498860216320;"@nct_menfess INI LAGI SALTING BRUTAL";0;0;0;0;;in;1504063753293561864;1661782968359325700;1661782968359325696;"";"";keziaaa_s
Thu May 25 17:29:45 +0000 2023;1661786645228843000;1661786645228843010;"asliiiii, dulu sebelum tau nct mikirnya yuta itu rapper, taunya vocal line😭😭😭 udh gitu suaranya enakeun lagi😭🫶🏼";0;0;0;0;;in;1562504729116446725;1661786645228843000;1661786645228843010;"";"";tkskiesjy
Thu May 25 17:27:06 +0000 2023;1661785980351975400;1661785980351975425;"@nct_menfess IYAA BANGET LAGI HAHAHAHA THAT "ILY❤️"";0;0;0;0;;in;1415898246136827905;1661782968359325700;1661782968359325696;"";"";nayeol2713
Thu May 25 17:19:22 +0000 2023;1661784032907251700;1661784032907251712;"@nct_menfess UDH STRESS BGT BACAIIN BUBBLE DIAAAA HUAAAA";0;0;0;0;;in;1415898246136827905;1661781994521661400;1661781994521661440;"";"";nayeol2713
Thu May 25 17:17:03 +0000 2023;1661783449890599000;1661783449890598913;"~Day 12~\nYour favorite part line from Haechan in NCT's songs\n\nBINGUNG, semuanya favorite krna ak dah cingta mati pada blio💘ak drop ini aja yg ada di galeri \n\n#23Days_Haechan_challenge #23일_해찬_첼린지 #HAECHAN #해찬 #NCT해찬 #ヘチャン https://t.co/Cr9HiFLL1O";0;0;2;0;;in;1638368397573652480;1657772403999789000;1657772403999789056;"https://pbs.twimg.com/ext_tw_video_thumb/1661783393821163522/pu/img/8sAQZ7__RGRrypCc.jpg";"photo";viihaechi
Thu May 25 17:23:05 +0000 2023;1661784967054233600;1661784967054233600;"NCT, C sama Tnya tuh Cuma Trial";0;2;0;0;;in;1435266308241694730;1661784967054233600;1661784967054233600;"";"";xfastm
Thu May 25 17:23:57 +0000 2023;1661785187171303400;1661785187171303425;"@dagangkorea yuk di take. Take lebih dari 2 pc aku kasih free merch official 🫶🏻 dom Tangerang yaapppp https://t.co/BNSXqj48UB";0;0;0;0;;in;1568512639860621312;1661772866189422600;1661772866189422593;"https://pbs.twimg.com/media/Fw_Y0hhaYAAc4Ry.jpg";"photo";hueening_kai
Wed May 24 13:57:04 +0000 2023;1661370735380643800;1661370735380643845;"NCT tuh konsep grupnya people come n go apa gmn dah";544;246;2847;11383;;in;1388768336364802049;1661370735380643800;1661370735380643845;"";"";haechanketawa
